epoch,train_loss,val_auc_roc,val_f1,val_acc,SE,SP
1,0.423443,0.718239,0.0,0.855021,0.0,1.0
2,0.401125,0.744619,0.0,0.855021,0.0,1.0
3,0.378975,0.815117,0.11226,0.856628,0.062527,0.991277
4,0.354354,0.853051,0.161262,0.858724,0.093679,0.988446
5,0.339253,0.882341,0.298802,0.871213,0.18927,0.986844
6,0.326298,0.886141,0.442949,0.883839,0.318556,0.979689
7,0.315984,0.880781,0.534175,0.873532,0.500158,0.936842
8,0.308106,0.900626,0.429781,0.888771,0.289129,0.990447
9,0.300643,0.908785,0.380604,0.885403,0.242853,0.994355
10,0.297052,0.896467,0.540404,0.895264,0.424723,0.97505
11,0.292231,0.900878,0.4934,0.89654,0.347513,0.989634
12,0.288779,0.923178,0.461291,0.894137,0.31263,0.992738
13,0.285766,0.922747,0.573254,0.902199,0.453092,0.97835
14,,0.5,0.253243,0.144979,1.0,0.0
15,,0.5,0.253243,0.144979,1.0,0.0
16,,0.5,0.253243,0.144979,1.0,0.0
17,,0.5,0.253243,0.144979,1.0,0.0
18,,0.5,0.253243,0.144979,1.0,0.0
